subject;title;author;date;excerpt;temporal;zone;agent;fase;state;func;local;form;view;role;lok;loe;num;suit;rev;citekey;svg;dxf;ifc
br-rn-acari-faz_maracuja;Fachada para oeste;Eduarda Santana;2024-01-02;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_maracuja;Corte longitudinal;Eduarda Santana;2024-01-02;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_pitombeiras;Planta de situação;Eduarda Santana;2023-12-30;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_pitombeiras;Planta do pavimento térreo;Eduarda Santana;2023-12-30;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_pitombeiras;Planta do sobrado;Eduarda Santana;2023-12-30;;;Storey;ARQTRAD;LV;O;;SOB;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_pitombeiras;Fachada para oeste;Eduarda Santana;2023-12-30;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_pitombeiras;Corte longitudinal;Eduarda Santana;2023-12-30;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_saco_dos_pereira;Planta de situação;Eduarda Santana;2024-01-02;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_saco_dos_pereira;Planta baixa;Eduarda Santana;2024-01-02;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_saco_dos_pereira;Fachada para oeste;Eduarda Santana;2024-01-02;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_saco_dos_pereira;Corte longitudinal;Eduarda Santana;2024-01-02;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_sobradinho;Planta de situação;Eduarda Santana;2023-12-30;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-faz_sobradinho;Planta do pavimento térreo;Eduarda Santana;2023-12-30;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_sobradinho;Planta do sobrado;Eduarda Santana;2023-12-30;;;Storey;ARQTRAD;LV;O;;SOB;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_sobradinho;Fachada para oeste;Eduarda Santana;2023-12-30;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-faz_sobradinho;Corte longitudinal;Eduarda Santana;2023-12-30;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_antonio_brasilia_57;Planta de situação;Eduarda Santana;2024-01-07;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
br-rn-acari-r_antonio_brasilia_57;Planta baixa;Eduarda Santana;2024-01-07;;;Storey;ARQTRAD;LV;O;;TER;D;1;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_antonio_brasilia_57;Fachada para oeste;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;2;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_antonio_brasilia_57;Corte longitudinal;Eduarda Santana;2024-01-07;;;Building;ARQTRAD;LV;O;;ZZZ;D;3;A;100;09;0001;1;v1.0;;FALSE;TRUE;FALSE
br-rn-acari-r_dr_jose_augusto_15;Planta de situação;Eduarda Santana;2024-01-07;;;Site;ARQTRAD;LV;E;;LOC;D;1;A;100;10;0001;1;v1.0;;FALSE;FALSE;FALSE
